OBJECTID,name,confirm,population,area,ageing,density,morbidity rate
1,Jianghan,5236,685699,28.29,28.25,24238.21138,7.636003553
2,Jiangxia,860,790117,2018.3,16.4,391.4745505,1.088446395
3,Qiaokou,6852,829665,41.46,27.85,20710.55916,8.25875504
4,Jiang'an,6563,895957,70.25,25.95,11160.4011,7.325128326
5,Huangpi,2117,874938,2256.7,20.1,387.7068286,2.419600017
6,Xinzhou,1071,848760,1500.66,19.78,579.9799102,1.261840803
7,Hongshan,4718,1390243,480,16.78,2425.06803,3.393651326
8,Wuchang,7543,1214287,126.37,22.81,18802.83369,6.211875776
9,Hanyang,4693,652700,111.54,24.32,5851.71239,7.190133292
10,Caidian,1424,618994,1093.57,21.74,566.2376392,2.300506952
11,Hannan,1088,396000,489.7,16.1,1379.550601,2.747474747
12,Dongxihu,2471,452053,499.71,16.82,912.6115395,5.466173214
13,Qingshan,2804,485607,80.47,28.71,8501.523109,5.774216599